Subject,Start Date,Start Time,End Date,End Time,Description,Location,Icon,Importance
TEST_1,29/03/15,19:35:00,13/03/15,19:35:00,Testing the example description here,Home,2,3
TEST_1,30/03/15,19:35:00,18/03/15,19:35:00,Testing the example description here,Home,2,2
Meeting,31/03/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,07/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,14/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,21/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,28/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,19/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
Meeting,26/04/15,19:35:00,25/03/15,19:35:00,Testing the example description here,Home,5,3
TEST_1,01/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,3,1
TEST_1,02/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,2,1
TEST_1,03/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,3,2
TEST_1,04/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,4,2
TEST_1,05/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,5,3
Birthday,06/04/15,19:35:00,29/03/15,19:35:00,It's my birthday!,Home,1,3
TEST_1,08/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,4,2
TEST_1,09/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,5,3
TEST_1,10/04/15,19:35:00,29/03/15,19:35:00,Testing the example description here,Home,5,3
